Company Name,HQ Location,Industry,Headcount,Revenue,Offers Construction Admin,CA Management Tools,Construction Litigation,Project Focus Types,Open Job Titles and Dates,,
OLC (Architecture | Interiors | Aquatics),Find contacts,"Denver, Colorado, United States",Architecture & Planning,11-50,$10M-$25M,"Yes - They list an “Architect – Construction Administration Lead” role focused on leading the construction phase of projects, indicating they provide",Research with AI,"Yes – Brown Construction Co. v. Ohlson Lavoie Collaborative, filed Aug 11, 2023 (contract dispute, U.S. District Court, E.D. Missouri, case 1:2023cv_",Research with AI,"Yes. Architect – Construction Administration Lead | Palm Beach Gardens, FL (listed on OLC careers page; active as of Jan 2026).",
Studio A Architecture,Find contacts,"Louisville, Kentucky, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech hiring found for Studio A Architecture.,
ESKW/Architects,Find contacts,"New York, New York, United States",Architecture & Planning,11-50,$10M-$25M,Yes - job posting notes drawings for all phases “including…construction administration.”,Research with AI,None found,Research with AI,"Yes – 1 role: “Intermediate Architect” (construction admin incl.), posted ~early Jan 2026.",
Dick Clark + Associates,Find contacts,"Austin, Texas, United States",Architecture & Planning,11-50,$10M-$25M,Yes - A builder review notes DC+A was “involved throughout the build doing construction administration.”,Research with AI,None found,Research with AI,No current CA/QA/QC/tech/CA admin openings found.,
Cates Engineering,Find contacts,United States,Architecture & Planning,11-50,$10M-$25M,Yes - their team manages projects through construction administration phases per staff bios.,Research with AI,None found,Research with AI,"No current CA/QA/QC/documentation/tech openings; last was “Project Manager – Structural Engineering,” posted Nov 18, 2016.",
Penn Lighting Associates,Find contacts,"Pennsauken, New Jersey, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin job postings found.,
"Studio G Architects, INC",Find contacts,"San Jose, California, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,Job Captain; Project Architect/Project Manager (no CA-specific roles listed).,
MAROTTA / MAIN ARCHITECTS,Find contacts,"Lancaster, Pennsylvania, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,Only active role found: “Business Manager” (posted ~5 months ago on LinkedIn).,
"Buckl Architects, Inc.",Find contacts,"Easton, Pennsylvania, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Described as providing construction administration services on Chamber of Commerce profile.,Research with AI,None found,Research with AI,"Yes – e.g., “Project Coordinator / Project Architect” (construction docs & CA), posted May 24, 2025.",
LCA Architects Inc.,Find contacts,"Walnut Creek, California, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their Centre Place project lists “Construction Administration” under Services.,Research with AI,None found,Research with AI,Yes – Office Administrator (Walnut Creek) – posted on careers page by Jan 2026.,
TBD Consultants,Find contacts,"San Francisco, California, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin job postings found.,
SGH Architects,Find contacts,"Redlands, California, United States",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings; careers page shows no open positions.,
BNKC Architects,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings found for BNKC Architects.,
Swanke Hayden Connell Architects,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$100M-$250M,Unclear,Research with AI,None found,Research with AI,"No; firm closed in 2015, so no current construction admin job postings.",
LDa Architecture & Interiors,Find contacts,"Boston, Massachusetts, United States",Architecture & Planning,11-50,$50M-$100M,Yes - Their Services list explicitly includes “Construction Administration.”,Research with AI,None found,Research with AI,No CA/QA/QC/documentation tech roles; only Principal Architect & Interior Designer (no dates).,
"DMS design, llc",Find contacts,"Peabody, Massachusetts, United States",Architecture & Planning,11-50,$25M-$50M,Unclear,Research with AI,None found,Research with AI,"Yes – Project Manager (multifamily housing, incl. construction admin); posted Aug 21, 2025.",
Lombard/Conrad Architects,Find contacts,"Boise, Idaho, United States",Architecture & Planning,11-50,$10M-$25M,Yes - services list includes “Construction Administration” under Architectural Services.,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech construction admin jobs found.,
Silikal America,Find contacts,"Carrollton, Georgia, United States",Architecture & Planning,201-500,$10M-$25M,Unclear,Research with AI,None found involving Silikal America in last 3 years,Research with AI,No current CA/QA/QC/tech openings found for Silikal America,
Saluda Hill Landscapes,Find contacts,"Lexington, South Carolina, United States",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current Saluda Hill Landscapes jobs found for CA/QA/QC/tech roles.,
"RKTB Architects, P.C.",Find contacts,"New York, New York, United States",Architecture & Planning,11-50,$10M-$25M,Yes - staff bios note experience “with a focus on…Construction Administration.”,Research with AI,2018 construction-defect case; none found in last 3 years,Research with AI,"No relevant CA/QA/QC/tech openings; only Senior Project Architect/Project Manager (posted on RKTB careers page, date not listed).",
Song + Associates,Find contacts,"West Palm Beach, Florida, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Their services explicitly include “design and construction administration.”,Research with AI,None found,Research with AI,"Yes – Job Captain (careers page, open) and Project Manager/Architect (Indeed), both active as of late 2025; neither is explicitly CA/QA/QC-specific.",
Jones Commercial Interiors (JCI),Find contacts,"Dallas, Texas, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Listed under “Supplemental Services” as Construction Administration on ajci.com/services,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings; no construction admin jobs listed.,
"Anil Verma Associates, Inc.",Find contacts,"Los Angeles, California, United States",Architecture & Planning,51-200,$10M-$25M,Yes - Website lists “Construction / Project Management” services overseeing projects from inception to completion.,Research with AI,None found,Research with AI,No CA/QA/QC/tech construction admin roles; only engineer roles listed.,
Design Collective,Find contacts,"Columbus, Ohio, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Urban Designer (Baltimore, MD) – posted on Design Collective careers page (date not listed).",
"Merriman Pitt / Anderson, Inc.",Find contacts,"Austin, Texas, United States",Architecture & Planning,11-50,$10M-$25M,Yes - project bios note leading projects from conceptual design through construction administration,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/technology construction admin roles found.,
Centric Architecture,Find contacts,"Nashville, Tennessee, United States",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,"Only “Interior Designer I” (Nashville, TN) listed; no CA/QA/QC/tech roles.",
MATHISON | MATHISON ARCHITECTS,Find contacts,"Grand Rapids, Michigan, United States",Architecture & Planning,11-50,$1M-$10M,Yes – Residential page notes they lead projects “through construction administration.”,Research with AI,None found,Research with AI,No relevant CA/QA/QC/documentation/tech roles found,
Glen Schnarr & Associates Inc.,Find contacts,"Mississauga, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Unclear,Research with AI,None found,Research with AI,"Yes – hiring “Planners (all levels)” – full-time, available immediately (careers page).",
"SGA|NW, a GF Design Company",Find contacts,"Charleston, South Carolina, United States",Architecture & Planning,51-200,$1M-$10M,Yes - About page lists “construction observation and administration” among services,Research with AI,Research with AI,Research with AI,Unknown – no current SGA|NW/GreenbergFarrow construction admin job posts found,
IIDA Southern California Chapter,Find contacts,"Los Angeles, California, United States",Architecture & Planning,11-50,$1M-$10M,No,Research with AI,Research with AI,Research with AI,"No current CA/QA/QC/tech hiring; only volunteer board roles (e.g., VP Chapter Events, VP Student Affairs, VP Outreach & Philanthropy, various dates in",
Interprise Design,Find contacts,"Dallas, Texas, United States",Architecture & Planning,11-50,$25M-$50M,Unclear,Research with AI,Research with AI,Research with AI,No current construction admin/CA/QA/QC/documentation/tech roles found.,
CLARK / BARNES,Find contacts,"Seattle, Washington, United States",Architecture & Planning,11-50,$10M-$25M,Yes - Services pages list “Construction Administration” under architecture and interior design.,Research with AI,Research with AI,Research with AI,No current CA/QA/QC/tech or construction admin jobs found.,
Fawley Bryant Architecture,Find contacts,"Lakewood Ranch, Florida, United States",Architecture & Planning,11-50,$10M-$25M,Yes - A 2025 contract scope explicitly includes “construction administration.”,Research with AI,Research with AI,Research with AI,"Yes – e.g., “Construction Administrator” on LinkedIn (posted Jan 2026).",
Ryan Street Architects,Find contacts,"Austin, Texas, United States",Architecture & Planning,11-50,$10M-$25M,"Yes - Their Phase V includes “bidding, negotiation & construction observation.”",Research with AI,Research with AI,Research with AI,No current construction admin/CA/QA/QC/tech roles; no relevant jobs listed.,
ERW Lighting + Controls,Find contacts,"Seattle, Washington, United States",Architecture & Planning,11-50,$10M-$25M,Unclear,Research with AI,Research with AI,Research with AI,No relevant CA/QA/QC/tech construction admin roles currently posted.,
